iter	RMSE
0	3924.61682
1	3814.567665
2	3708.184265
3	3605.610991
4	3505.82746
5	3408.524693
6	3313.819873
7	3222.551401
8	3134.945997
9	3049.329695
10	2966.35396
11	2886.571677
12	2808.637854
13	2732.633174
14	2659.069736
15	2587.282701
16	2518.838079
17	2451.67053
18	2386.002813
19	2323.648246
20	2262.825281
21	2204.146211
22	2146.884019
23	2091.948527
24	2038.63144
25	1986.690988
26	1936.6039
27	1888.136192
28	1840.85985
29	1795.942352
30	1752.250221
31	1709.485969
32	1669.361725
33	1629.00469
34	1590.271776
35	1553.436308
36	1517.47639
37	1482.873303
38	1449.395154
39	1416.871061
40	1384.999462
41	1355.456735
42	1326.555043
43	1298.141236
44	1270.477638
45	1243.634541
46	1217.842649
47	1193.525396
48	1170.074823
49	1147.170007
50	1125.776947
51	1104.935963
52	1084.770599
53	1065.448569
54	1046.690698
55	1028.225642
56	1011.006482
57	993.6507592
58	977.3171611
59	961.3201612
60	946.1346399
61	930.9241706
62	917.1608466
63	903.3665763
64	890.7855139
65	878.0385876
66	865.8386999
67	854.0362036
68	843.3207565
69	832.6167997
70	822.9651154
71	813.5615891
72	804.4814509
73	795.3120433
74	786.8700929
75	778.5452968
76	770.4239311
77	762.8108752
78	755.280529
79	748.5091191
80	741.935466
81	735.5887961
82	729.6875379
83	723.5974877
84	717.9777379
85	712.516761
86	707.2946845
87	702.1166938
88	697.2679346
89	692.6685393
90	688.3767055
91	684.1313344
92	679.9848423
93	676.1309098
94	672.5134099
95	669.0032146
96	665.5404736
97	662.2752024
98	659.1918083
99	656.2556055
100	653.4441248
101	650.7826114
102	648.1447484
103	645.4844712
104	643.0586234
105	640.760048
106	638.4926629
107	636.3377667
108	634.2625727
109	632.2280596
110	630.2990564
111	628.4619172
112	626.6808305
113	624.9518297
114	623.3164433
115	621.7262051
116	620.1808901
117	618.7097834
118	617.4043652
119	616.1309825
120	614.7586889
121	613.5340517
122	612.3628407
123	611.2518369
124	610.088062
125	609.0126413
126	608.0407987
127	607.0611074
128	606.1137609
129	605.1057239
130	604.2219562
131	603.3981364
132	602.4997681
133	601.7154255
134	600.9753306
135	600.1922831
136	599.4414562
137	598.7615285
138	598.1391251
139	597.513674
140	596.9215533
141	596.32641
142	595.8064531
143	595.2368503
144	594.7098989
145	594.1805878
146	593.6173763
147	593.0373993
148	592.5780913
149	592.0103479
150	591.4818939
151	591.0295069
152	590.5465248
153	590.1276736
154	589.6706098
155	589.2623668
156	588.8229109
157	588.4437199
158	588.0571647
159	587.6785405
160	587.3273183
161	586.9804271
162	586.6478345
163	586.3461855
164	586.0535171
165	585.7297141
166	585.412851
167	585.1014295
168	584.8136041
169	584.5687407
170	584.292731
171	584.0493526
172	583.732833
173	583.5026355
174	583.2915542
175	583.0364042
176	582.7879607
177	582.5645062
178	582.3252158
179	582.1118916
180	581.8955354
181	581.6725914
182	581.4364754
183	581.2023171
184	581.0186566
185	580.8323881
186	580.6709806
187	580.4616211
188	580.3030313
189	580.0513402
190	579.8853955
191	579.6817232
192	579.4353404
193	579.2946429
194	579.0919282
195	578.9466657
196	578.7896382
197	578.62854
198	578.5049005
199	578.3562615
200	578.232343
201	578.0653953
202	577.9162595
203	577.7817987
204	577.6574567
205	577.5106524
206	577.3644508
207	577.2369605
208	577.0587613
209	576.9611068
210	576.8488787
211	576.7510646
212	576.6464296
213	576.5118345
214	576.3664845
215	576.2046725
216	576.1076707
217	576.0042518
218	575.8825092
219	575.7105897
220	575.5859178
221	575.4591636
222	575.3358277
223	575.1799609
224	575.102725
225	574.986246
226	574.8824459
227	574.7481715
228	574.6322158
229	574.4980834
230	574.4017223
231	574.2862421
232	574.1765764
233	574.1109363
234	574.0226904
235	573.9120594
236	573.7808757
237	573.6457922
238	573.5695696
239	573.4519322
240	573.3697451
241	573.2973176
242	573.18873
243	573.0396076
244	572.9279762
245	572.816572
246	572.7032285
247	572.6080499
248	572.5286171
249	572.4283326
250	572.3653815
251	572.2647201
252	572.1606299
253	572.0720207
254	571.9610727
255	571.8808066
256	571.7946859
257	571.7088587
258	571.6470341
259	571.5485355
260	571.4262095
261	571.3419808
262	571.2655078
263	571.1919148
264	571.1270596
265	571.0456178
266	570.9557479
267	570.8937227
268	570.8426818
269	570.77545
270	570.6910328
271	570.61124
272	570.5302624
273	570.4712992
274	570.3297044
275	570.2655393
276	570.1784445
277	570.1287451
278	570.0634529
279	569.9975125
280	569.9360242
281	569.877695
282	569.786398
283	569.7101363
284	569.6602881
285	569.5827796
286	569.5239414
287	569.4588143
288	569.4115932
289	569.3615576
290	569.2812985
291	569.2186923
292	569.1616975
293	569.0920106
294	569.0383634
295	568.9769569
296	568.8964072
297	568.7888112
298	568.7296545
299	568.7072435
300	568.6622973
301	568.5884567
302	568.5541447
303	568.480851
304	568.3725398
305	568.3178925
306	568.2850621
307	568.2323479
308	568.1817289
309	568.0969698
310	568.0367398
311	567.9558382
312	567.9136417
313	567.8609475
314	567.8095241
315	567.755702
316	567.621644
317	567.5624984
318	567.510484
319	567.4293897
320	567.3064526
321	567.2591733
322	567.2054071
323	567.1020692
324	567.0043457
325	566.9685199
326	566.9115972
327	566.8513481
328	566.7910799
329	566.7292027
330	566.6766045
331	566.6200736
332	566.5549976
333	566.523868
334	566.4894354
335	566.4303105
336	566.3292064
337	566.277499
338	566.2449435
339	566.205916
340	566.1524008
341	566.1062497
342	566.0371374
343	565.9781875
344	565.9194398
345	565.8634937
346	565.8261034
347	565.7669839
348	565.7140913
349	565.5987349
350	565.554067
351	565.5254122
352	565.4591373
353	565.3961486
354	565.3613151
355	565.3179057
356	565.2683683
357	565.1817356
358	565.1489612
359	565.0920266
360	565.048646
361	564.9949674
362	564.9502494
363	564.8976335
364	564.8532201
365	564.8067822
366	564.755213
367	564.6700672
368	564.6140613
369	564.5486319
370	564.5141434
371	564.4545987
372	564.3981663
373	564.364373
374	564.3209567
375	564.2906029
376	564.2491026
377	564.2117908
378	564.1841947
379	564.1368943
380	564.0642745
381	564.0025393
382	563.9468756
383	563.8099569
384	563.7498086
385	563.6741735
386	563.6349075
387	563.5825929
388	563.5314012
389	563.4704707
390	563.4438911
391	563.3785104
392	563.3136592
393	563.277329
394	563.2388553
395	563.1971281
396	563.1623777
397	563.1367299
398	563.0464762
399	562.9941305
