iter	Passed	Remaining
0	10	4149
1	18	3755
2	27	3634
3	35	3552
4	44	3524
5	52	3460
6	61	3431
7	69	3390
8	77	3356
9	85	3337
10	93	3317
11	101	3296
12	110	3282
13	118	3267
14	126	3248
15	135	3244
16	143	3237
17	151	3224
18	160	3208
19	168	3195
20	176	3185
21	184	3173
22	192	3155
23	201	3152
24	210	3150
25	218	3145
26	227	3136
27	235	3122
28	243	3110
29	251	3097
30	259	3088
31	267	3078
32	275	3067
33	284	3057
34	291	3043
35	299	3032
36	307	3020
37	315	3008
38	324	3001
39	333	2997
40	341	2989
41	349	2979
42	357	2970
43	366	2963
44	374	2954
45	383	2948
46	391	2940
47	400	2934
48	409	2930
49	417	2923
50	426	2916
51	435	2911
52	443	2903
53	452	2898
54	461	2892
55	469	2884
56	478	2878
57	486	2870
58	495	2865
59	504	2860
60	513	2851
61	521	2845
62	531	2840
63	539	2834
64	548	2827
65	557	2821
66	566	2814
67	575	2807
68	583	2801
69	592	2793
70	601	2787
71	610	2782
72	618	2772
73	627	2764
74	636	2758
75	645	2751
76	654	2745
77	663	2737
78	671	2729
79	680	2723
80	690	2718
81	700	2715
82	709	2709
83	719	2705
84	729	2702
85	738	2697
86	748	2694
87	757	2687
88	767	2681
89	776	2674
90	785	2666
91	793	2656
92	803	2651
93	812	2643
94	820	2634
95	829	2627
96	838	2618
97	847	2610
98	855	2601
99	864	2593
100	873	2586
101	882	2577
102	891	2569
103	900	2562
104	908	2553
105	917	2545
106	927	2539
107	936	2531
108	945	2524
109	954	2516
110	962	2507
111	972	2500
112	981	2491
113	989	2483
114	999	2476
115	1008	2468
116	1017	2460
117	1026	2453
118	1035	2445
119	1044	2437
120	1054	2430
121	1063	2422
122	1071	2413
123	1080	2404
124	1089	2396
125	1097	2386
126	1106	2377
127	1114	2368
128	1123	2359
129	1132	2351
130	1140	2342
131	1149	2333
132	1158	2325
133	1166	2316
134	1175	2307
135	1183	2298
136	1192	2289
137	1202	2282
138	1211	2274
139	1219	2265
140	1229	2257
141	1238	2250
142	1247	2241
143	1256	2232
144	1264	2224
145	1273	2216
146	1283	2208
147	1292	2200
148	1300	2191
149	1309	2183
150	1319	2175
151	1328	2167
152	1336	2158
153	1345	2149
154	1354	2140
155	1363	2132
156	1372	2124
157	1380	2114
158	1389	2106
159	1398	2097
160	1407	2089
161	1415	2080
162	1424	2070
163	1433	2062
164	1441	2053
165	1450	2044
166	1458	2034
167	1466	2025
168	1475	2017
169	1484	2008
170	1493	1999
171	1501	1989
172	1510	1981
173	1518	1972
174	1527	1964
175	1536	1955
176	1544	1946
177	1553	1937
178	1562	1928
179	1570	1919
180	1578	1910
181	1587	1901
182	1596	1893
183	1605	1885
184	1614	1876
185	1623	1868
186	1632	1859
187	1641	1850
188	1649	1841
189	1657	1832
190	1666	1823
191	1675	1814
192	1683	1805
193	1692	1797
194	1700	1787
195	1709	1778
196	1717	1769
197	1726	1760
198	1734	1752
199	1743	1743
200	1753	1735
201	1763	1728
202	1773	1720
203	1783	1713
204	1792	1704
205	1801	1696
206	1809	1687
207	1817	1678
208	1826	1669
209	1835	1660
210	1844	1652
211	1853	1643
212	1861	1634
213	1870	1625
214	1878	1616
215	1888	1608
216	1896	1599
217	1905	1590
218	1913	1581
219	1923	1573
220	1932	1565
221	1941	1556
222	1949	1547
223	1958	1538
224	1966	1529
225	1975	1520
226	1983	1511
227	1992	1503
228	2001	1494
229	2010	1485
230	2018	1476
231	2027	1468
232	2036	1459
233	2044	1450
234	2053	1441
235	2061	1432
236	2069	1423
237	2078	1414
238	2087	1405
239	2095	1397
240	2103	1387
241	2112	1378
242	2120	1369
243	2129	1361
244	2138	1352
245	2147	1344
246	2156	1335
247	2164	1326
248	2172	1317
249	2180	1308
250	2189	1299
251	2198	1291
252	2208	1283
253	2216	1274
254	2225	1265
255	2234	1256
256	2243	1248
257	2251	1239
258	2260	1230
259	2269	1221
260	2278	1213
261	2287	1204
262	2295	1195
263	2303	1186
264	2312	1178
265	2321	1169
266	2330	1161
267	2338	1152
268	2347	1143
269	2355	1134
270	2364	1125
271	2372	1116
272	2380	1107
273	2389	1098
274	2397	1089
275	2406	1081
276	2415	1072
277	2424	1063
278	2432	1055
279	2441	1046
280	2450	1037
281	2458	1028
282	2467	1020
283	2476	1011
284	2484	1002
285	2493	993
286	2502	985
287	2511	976
288	2519	967
289	2529	959
290	2538	950
291	2546	941
292	2555	933
293	2563	924
294	2572	915
295	2580	906
296	2589	897
297	2597	888
298	2606	880
299	2614	871
300	2623	863
301	2632	854
302	2641	845
303	2649	836
304	2658	827
305	2667	819
306	2675	810
307	2683	801
308	2691	792
309	2699	783
310	2707	774
311	2715	766
312	2724	757
313	2732	748
314	2740	739
315	2750	731
316	2758	722
317	2766	713
318	2775	704
319	2784	696
320	2792	687
321	2801	678
322	2810	669
323	2819	661
324	2827	652
325	2836	643
326	2845	635
327	2854	626
328	2862	617
329	2871	609
330	2880	600
331	2888	591
332	2896	582
333	2904	573
334	2913	565
335	2920	556
336	2929	547
337	2938	538
338	2947	530
339	2956	521
340	2964	512
341	2972	504
342	2981	495
343	2990	486
344	2998	478
345	3007	469
346	3016	460
347	3025	452
348	3033	443
349	3041	434
350	3050	425
351	3059	417
352	3067	408
353	3076	399
354	3085	391
355	3093	382
356	3101	373
357	3110	364
358	3118	356
359	3127	347
360	3136	338
361	3145	330
362	3153	321
363	3161	312
364	3169	303
365	3177	295
366	3186	286
367	3195	277
368	3204	269
369	3214	260
370	3223	251
371	3231	243
372	3240	234
373	3248	225
374	3256	217
375	3264	208
376	3272	199
377	3281	190
378	3290	182
379	3299	173
380	3307	164
381	3316	156
382	3324	147
383	3333	138
384	3341	130
385	3349	121
386	3357	112
387	3365	104
388	3373	95
389	3382	86
390	3391	78
391	3399	69
392	3408	60
393	3415	52
394	3423	43
395	3431	34
396	3439	25
397	3447	17
398	3456	8
399	3465	0
