iter	Passed	Remaining
0	74	44558
1	107	32272
2	190	37895
3	244	36383
4	314	37379
5	389	38599
6	467	39606
7	540	39987
8	588	38668
9	672	39663
10	756	40521
11	819	40135
12	861	38909
13	924	38695
14	1014	39583
15	1103	40262
16	1170	40145
17	1230	39771
18	1301	39797
19	1450	42073
20	1508	41593
21	1556	40881
22	1626	40793
23	1699	40787
24	1749	40229
25	1770	39096
26	1792	38049
27	1821	37200
28	1850	36435
29	1875	35629
30	1928	35403
31	1974	35045
32	2033	34932
33	2081	34645
34	2163	34924
35	2230	34950
36	2284	34767
37	2344	34679
38	2408	34647
39	2459	34426
40	2519	34348
41	2542	33784
42	2573	33338
43	2641	33380
44	2689	33164
45	2761	33256
46	2806	33023
47	2909	33460
48	2973	33433
49	3031	33347
50	3084	33200
51	3128	32964
52	3188	32903
53	3237	32730
54	3294	32648
55	3354	32584
56	3412	32509
57	3485	32568
58	3526	32338
59	3636	32725
60	3698	32680
61	3739	32450
62	3816	32527
63	3865	32374
64	3938	32419
65	3992	32299
66	4058	32283
67	4128	32301
68	4175	32130
69	4207	31853
70	4272	31835
71	4358	31964
72	4413	31861
73	4475	31809
74	4531	31719
75	4619	31852
76	4667	31699
77	4717	31571
78	4773	31478
79	4879	31715
80	4927	31570
81	5012	31662
82	5074	31610
83	5118	31442
84	5179	31381
85	5252	31390
86	5309	31310
87	5384	31325
88	5441	31244
89	5516	31258
90	5571	31162
91	5625	31062
92	5706	31108
93	5818	31322
94	5901	31369
95	5978	31385
96	6038	31310
97	6085	31171
98	6137	31060
99	6223	31117
100	6319	31222
101	6364	31073
102	6415	30957
103	6504	31020
104	6551	30884
105	6614	30828
106	6695	30850
107	6760	30796
108	6813	30691
109	6863	30573
110	6975	30728
111	7061	30767
112	7139	30769
113	7197	30685
114	7275	30681
115	7331	30589
116	7412	30600
117	7450	30432
118	7519	30393
119	7565	30262
120	7645	30265
121	7694	30148
122	7746	30041
123	7873	30223
124	7912	30066
125	7970	29983
126	8020	29870
127	8197	30230
128	8251	30125
129	8313	30055
130	8367	29957
131	8495	30119
132	8539	29983
133	8586	29860
134	8831	30420
135	8945	30521
136	9042	30559
137	9101	30471
138	9207	30536
139	9260	30426
140	9348	30431
141	9395	30302
142	9431	30141
143	9469	29986
144	9583	30072
145	9641	29980
146	9668	29795
147	9689	29592
148	9711	29394
149	9730	29190
150	9751	28996
151	9775	28810
152	9791	28607
153	9808	28407
154	9850	28281
155	9909	28204
156	9973	28141
157	10019	28028
158	10136	28115
159	10183	28003
160	10239	27919
161	10322	27910
162	10402	27889
163	10460	27808
164	10512	27714
165	10573	27643
166	10630	27561
167	10698	27509
168	10770	27468
169	10827	27387
170	10876	27285
171	10924	27183
172	11069	27321
173	11137	27267
174	11223	27257
175	11278	27171
176	11343	27109
177	11401	27031
178	11450	26931
179	11509	26856
180	11582	26812
181	11626	26702
182	11684	26625
183	11777	26626
184	11830	26538
185	11889	26464
186	11920	26327
187	12035	26375
188	12082	26275
189	12137	26190
190	12222	26172
191	12270	26075
192	12317	25975
193	12388	25927
194	12485	25932
195	12539	25846
196	12586	25748
197	12634	25651
198	12682	25557
199	12746	25492
200	12802	25413
201	12852	25322
202	12917	25262
203	12984	25204
204	13109	25260
205	13178	25206
206	13246	25148
207	13312	25089
208	13376	25025
209	13453	24985
210	13507	24902
211	13549	24797
212	13610	24729
213	13712	24733
214	13752	24626
215	13815	24560
216	13859	24462
217	13879	24321
218	13911	24201
219	13963	24117
220	14013	24032
221	14070	23957
222	14129	23887
223	14200	23836
224	14256	23760
225	14336	23725
226	14407	23674
227	14464	23599
228	14534	23547
229	14596	23480
230	14662	23422
231	14713	23339
232	14764	23255
233	14810	23164
234	14872	23099
235	14914	23003
236	14937	22879
237	14961	22756
238	14977	22622
239	14999	22499
240	15019	22373
241	15038	22247
242	15058	22123
243	15110	22045
244	15160	21967
245	15187	21854
246	15206	21732
247	15226	21612
248	15244	21489
249	15260	21365
250	15287	21256
251	15308	21140
252	15326	21020
253	15344	20902
254	15361	20783
255	15377	20663
256	15395	20547
257	15415	20434
258	15437	20325
259	15456	20212
260	15472	20096
261	15489	19982
262	15513	19878
263	15537	19775
264	15558	19667
265	15579	19562
266	15598	19454
267	15618	19348
268	15638	19242
269	15656	19136
270	15673	19027
271	15689	18919
272	15708	18816
273	15726	18711
274	15743	18606
275	15765	18507
276	15803	18427
277	15846	18354
278	15919	18316
279	15976	18258
280	16075	18249
281	16134	18194
282	16187	18132
283	16271	18104
284	16329	18048
285	16381	17985
286	16486	17979
287	16539	17918
288	16604	17868
289	16664	17814
290	16758	17794
291	16826	17748
292	16885	17692
293	16947	17639
294	17004	17580
295	17059	17520
296	17115	17460
297	17240	17471
298	17295	17411
299	17335	17335
300	17372	17256
301	17475	17243
302	17515	17168
303	17533	17072
304	17553	16977
305	17574	16885
306	17589	16787
307	17607	16692
308	17625	16599
309	17645	16507
310	17676	16425
311	17749	16383
312	17834	16352
313	17892	16296
314	17966	16255
315	18021	16196
316	18076	16137
317	18101	16051
318	18117	15959
319	18135	15868
320	18151	15776
321	18171	15688
322	18201	15609
323	18242	15540
324	18298	15483
325	18342	15416
326	18392	15355
327	18455	15304
328	18484	15226
329	18560	15185
330	18676	15178
331	18718	15110
332	18776	15054
333	18877	15034
334	18940	14983
335	19003	14931
336	19053	14869
337	19110	14813
338	19168	14757
339	19227	14703
340	19279	14643
341	19401	14636
342	19474	14591
343	19505	14515
344	19554	14453
345	19608	14394
346	19662	14336
347	19723	14282
348	19764	14214
349	19823	14159
350	19891	14111
351	19939	14048
352	20003	13997
353	20063	13942
354	20145	13903
355	20202	13846
356	20229	13769
357	20254	13691
358	20317	13639
359	20384	13589
360	20440	13532
361	20470	13458
362	20486	13375
363	20500	13291
364	20553	13232
365	20660	13209
366	20790	13199
367	20839	13138
368	20919	13095
369	20973	13037
370	21044	12989
371	21117	12943
372	21170	12883
373	21250	12841
374	21310	12786
375	21425	12764
376	21519	12729
377	21590	12680
378	21647	12623
379	21712	12570
380	21788	12523
381	21876	12484
382	21993	12461
383	22138	12452
384	22219	12408
385	22291	12358
386	22339	12295
387	22446	12264
388	22565	12239
389	22623	12182
390	22692	12129
391	22767	12080
392	22825	12022
393	22929	11988
394	23004	11939
395	23045	11871
396	23082	11802
397	23159	11754
398	23299	11737
399	23368	11684
400	23421	11622
401	23546	11597
402	23597	11535
403	23658	11478
404	23804	11461
405	23891	11416
406	23973	11368
407	24032	11309
408	24137	11271
409	24191	11210
410	24241	11147
411	24384	11126
412	24435	11064
413	24485	11000
414	24616	10973
415	24671	10912
416	24793	10880
417	24887	10836
418	24966	10785
419	25018	10722
420	25106	10674
421	25173	10618
422	25226	10555
423	25425	10554
424	25496	10498
425	25725	10507
426	25759	10436
427	25819	10376
428	25945	10342
429	26005	10281
430	26067	10221
431	26284	10221
432	26339	10158
433	26424	10107
434	26493	10049
435	26544	9984
436	26614	9926
437	26790	9908
438	26852	9847
439	26910	9785
440	26953	9718
441	27041	9666
442	27090	9601
443	27158	9542
444	27220	9481
445	27264	9414
446	27353	9362
447	27502	9331
448	27608	9284
449	27690	9230
450	27840	9197
451	27931	9145
452	28014	9090
453	28071	9027
454	28146	8969
455	28215	8910
456	28347	8870
457	28396	8804
458	28462	8743
459	28531	8683
460	28581	8617
461	28668	8563
462	28772	8513
463	28819	8447
464	28861	8379
465	28972	8331
466	29048	8272
467	29162	8225
468	29230	8164
469	29282	8099
470	29364	8042
471	29415	7977
472	29479	7915
473	29534	7850
474	29613	7793
475	29669	7728
476	29748	7670
477	29830	7613
478	29900	7553
479	29951	7487
480	30041	7432
481	30102	7369
482	30142	7301
483	30278	7256
484	30347	7195
485	30400	7131
486	30493	7075
487	30633	7030
488	30728	6975
489	30768	6907
490	31027	6887
491	31088	6824
492	31150	6760
493	31225	6700
494	31284	6636
495	31371	6577
496	31441	6516
497	31485	6448
498	31542	6384
499	31594	6318
500	31704	6264
501	31755	6199
502	31820	6136
503	31940	6083
504	31999	6019
505	32066	5957
506	32112	5890
507	32194	5830
508	32256	5766
509	32337	5706
510	32421	5646
511	32492	5584
512	32568	5523
513	32701	5471
514	32762	5407
515	32844	5346
516	33054	5306
517	33124	5243
518	33187	5179
519	33255	5116
520	33302	5049
521	33360	4984
522	33477	4928
523	33626	4877
524	33710	4815
525	33768	4750
526	33828	4685
527	33872	4618
528	34020	4566
529	34103	4504
530	34174	4440
531	34219	4373
532	34323	4314
533	34364	4247
534	34428	4182
535	34498	4119
536	34569	4055
537	34611	3988
538	34651	3921
539	34697	3855
540	34774	3792
541	34810	3725
542	34996	3673
543	35043	3607
544	35094	3541
545	35280	3489
546	35341	3424
547	35388	3358
548	35452	3293
549	35499	3227
550	35559	3162
551	35595	3095
552	35611	3026
553	35627	2958
554	35642	2889
555	35656	2821
556	35673	2753
557	35688	2686
558	35710	2619
559	35738	2552
560	35778	2487
561	35826	2422
562	35878	2357
563	35977	2296
564	36043	2232
565	36081	2167
566	36143	2103
567	36185	2038
568	36234	1974
569	36259	1908
570	36296	1843
571	36474	1785
572	36555	1722
573	36604	1658
574	36660	1593
575	36757	1531
576	36810	1467
577	36867	1403
578	36944	1339
579	37011	1276
580	37064	1212
581	37109	1147
582	37196	1084
583	37244	1020
584	37340	957
585	37422	894
586	37491	830
587	37557	766
588	37634	702
589	37692	638
590	37750	574
591	37829	511
592	37909	447
593	37973	383
594	38024	319
595	38096	255
596	38164	191
597	38233	127
598	38357	64
599	38425	0
